Product,Weight,Price_euros
17-Y002nv (A10-9600P/6GB/2TB/Radeon,2.65,569.00
IdeaPad 310-15ABR,2.4,499.00
Aspire 5,2.2,579.00
17-ak002nv (A10-9620P/6GB/2TB/Radeon,2.71,655.01
X555QG-DM242T (A10-9620P/4GB/1TB,2.2,575.00
15-bw007nv (A10-9620P/6GB/128GB/Radeon,1.91,568.90
15-ba043na (A12-9700P/8GB/2TB/W10),2.04,629.00
15-bw009nv (A12-9720P/6GB/1TB/Radeon,2.1,529.00
IdeaPad 320-15ABR,2.2,899.00
IdeaPad 110-17ACL,2.8,379.00
110-15ACL (A6-7310/4GB/500GB/W10),2.19,298.00
15-bw011nv (A6-9220/4GB/1TB/FHD/W10),2.1,398.00
17-ak001nv (A6-9220/4GB/500GB/Radeon,2.71,439.00
255 G6,1.86,398.49
IdeaPad 320-15AST,2.2,399.00
15-bw002nv (A6-9220/4GB/256GB/Radeon,1.91,478.89
15-BW094nd (A6-9220/8GB/128GB/W10),1.91,445.90
Aspire ES1-523,2.4,449.00
ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),2.23,469.00
Pavilion 15-AW003nv,2.04,549.99
Aspire 3,2.1,400.00
X505BP-BR019T (A9-9420/4GB/1TB/Radeon,1.68,469.00
X555BP-XX180T (A9-9420/4GB/1TB/Radeon,2.03,403.00
15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),1.91,488.99
15-BW004nv (A9-9420/4GB/256GB/Radeon,1.91,499.00
15-BW037na (A9-9420/4GB/1TB/Radeon,2.1,489.00
17-AK091ND (A9-9420/8GB/1TB/W10),2.6,520.90
15-BW091ND (A9-9420/6GB/1TB,2.1,650.00
15-cd005nv (A9-9420/6GB/256GB/Radeon,1.95,649.00
E402WA-GA007T (E2-6110/4GB/64GB/W10,1.65,277.99
VivoBook X540YA-XX519T,2,349.00
15-BA015wm (E2-7110/4GB/500GB/W10),1.86,297.00
15-rb013nv (E2-9000e/4GB/500GB/W10),2.1,330.00
E402WA-GA010T (E2-6110/2GB/32GB/W10),1.65,199.00
15-bw000nv (E2-9000e/4GB/500GB/Radeon,2.1,349.00
IdeaPad Y700-15ACZ,2.5,999.00
FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,2.45,699.00
Rog Strix,3.2,1695.00
"LapBook 15.6""",1.89,244.99
Vivobook E200HA,0.98,191.90
"Lapbook 15,6",1.89,248.90
SmartBook 130,1.35,255.00
SmartBook 140,1.4,239.00
SmartBook 141,1.4,249.00
V131 (X5-Z8350/4GB/32GB/FHD/W10),1.35,196.00
V142 (X5-Z8350/2GB/32GB/W10),1.45,210.80
Yoga Book,0.69,319.00
Smartbook 142,1.4,265.00
C740-C9QX (3205U/2GB/32GB/Chrome,1.3,174.00
Chromebook 15,2.20,209.00
Chromebook C910-C2ST,2.19,199.00
Chromebook CB5-571-C1DZ,2.20,359.00
Chromebook 14,1.45,375.00
ThinkPad 13,1.45,459.90
V110-15ISK (3855U/4GB/500GB/W10),2.1,318.00
TravelMate B117-M,1.4,269.00
X553SA-XX021T (N3050/4GB/500GB/W10),2.2,369.00
X553SA-XX031T (N3050/4GB/500GB/W10),2.2,369.00
Inspiron 3552,2.20,379.00
IdeaPad 100S-14IBR,1.5,229.00
Aspire ES1-531,2.4,289.00
Chromebook 11,1.35,355.00
Chromebook C731-C78G,1.25,297.00
Chromebook C738T-C2EJ,1.25,389.00
TravelMate B,1.4,435.00
Chromebook C202SA,1.2,287.90
15-ra044nv (N3060/4GB/500GB/W10),2.1,347.00
250 G6,1.86,259.00
Stream 11-Y000na,1.17,209.00
Stream 14-AX000nv,1.44,249.00
Stream 14-AX001nv,1.44,279.00
Stream 14-AX040wm,1.44,229.00
Chromebook N23,1.25,265.00
N23 (N3060/4GB/128GB/W10),1.4,475.00
Chromebook 3,1.15,269.00
Aspire A315-31,2.1,348.00
A541NA-GO342 (N3350/4GB/500GB/Linux),2,224.00
L403NA-GA013TS (N3350/4GB/32GB/W10),1.5,278.00
L502NA-GO052T (N3350/4GB/128GB/W10),1.86,419.00
R417NA-RS01 (N3350/4GB/32GB/W10),1.63,299.00
VivoBook E12,1.1,245.00
VivoBook E201NA,1.2,340.00
VivoBook E403NA,1.5,286.00
VivoBook Flip,1.1,275.00
VivoBook L402NA,1.65,348.00
X541NA (N3350/4GB/1TB/FHD/W10),2,344.00
X541NA (N3350/4GB/1TB/Linux),2,274.99
X541NA-GO020T (N3350/4GB/1TB/W10),2,339.00
X541NA-GO414T (N3350/8GB/1TB/W10),2,399.00
Chromebook X360,1.4,495.00
IdeaPad 120S-14IAP,1.44,249.00
IdeaPad 320-14IAP,2.1,299.00
IdeaPad 320-15IAP,2.2,321.99
Ideapad 320-15IAP,2.2,419.00
Lenovo IdeaPad,1.15,304.45
V110-15IAP (N3350/4GB/128GB/No,1.9,270.62
V110-15IAP (N3350/4GB/1TB/No,1.9,252.36
FlexBook Edge,1.16,299.00
K146 (N3350/4GB/32GB/W10),1.22,202.90
K147 (N3350/4GB/32GB/FHD/W10),1.3,260.00
Spin SP111-31,1.25,349.00
CB5-132T-C9KK (N3160/4GB/32GB/Chrome,1.25,379.00
N42-20 Chromebook,1.5,325.00
Aspire 1,1.6,329.00
LapBook 12.3,1.4,449.00
Yoga 11e,1.59,553.00
SmartBook Edge,1.2,369.00
IdeaPad 110-15IBR,2.2,329.00
Aspire E5-774G,3.3,629.00
Aspire ES1-572,2.4,361.80
Inspiron 3567,2.25,428.00
Inspiron 5567,2.3,499.00
